"Site";"Date";"T...C. Mean";"T...C. Se";"Water..cm. Mean";"Water..cm. Se";"Salinity..g.L. Mean";"Salinity..g.L. Se";"pH Mean";"pH Se";"Cd..ppm. Mean";"Cd..ppm. Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Fe..ppm. Mean";"Fe..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"Cu..ppm. Mean";"Cu..ppm. Se";"P..mg.L. Mean";"P..mg.L. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
2;8;3.5;0;20;0;28.4;0.0305505046330394;8.61;0.040414518843274;0.716666666666667;0.00333333333333334;0.437666666666667;0.0232546291687865;0.171666666666667;0.000881917103688189;0.343333333333333;0.0260341655863555;0.462;0.0130511813003013;4.57486666666667;0.0108666666666665;76.3636363666667;1.20261423224482
2;98;22;0;31;0;29.9533333333333;0.272355976210873;9.33666666666667;0.057831171909658;0.461633333333333;0.0069003220536758;0.924333333333333;0.004371625682868;1.907;0;0.148433333333333;0.00222585813663954;0.1002;0.000814452781524707;4.5966;0.0188216187755818;97.4242424233333;1.34669612480736
3;128;24;0;30;0;31.3333333333333;0.333333333333333;9.70666666666667;0.0504424865014053;0.687833333333333;0.00603581900914129;1.404;0.00854400374531752;2.151;0.00378593889720016;0.173933333333333;0.000233333333333339;0.137066666666667;0.00103976493069881;4.52053333333333;0.0108666666666665;85;2.83863545185224
3;159;26.6666666666667;0.333333333333333;13;0;34.9333333333333;0.0666666666666676;9.16333333333333;0.00333333333333326;0.741;0.0115470053837925;0.968;0.0174737898961082;0.170133333333333;0.00407117236732179;0.0612666666666667;8.819171036882e-05;0.237866666666667;6.66666666666593e-05;4.70526666666667;0.0712574986307484;96.9696969666667;1.51515151666667
3;189;30.1;0.1;10;0;40.8466666666667;0.306013797800761;8.22666666666667;0.00666666666666652;0.759;0.00709459888459759;1.312;0.00550757054728613;0.318666666666667;0.0103976493069882;0.0764333333333333;0.000536449231314368;0.268666666666667;0.00202758751009941;5.43666666666667;0.0473957611794323;144.75636;2.27165732521435
3;220;39;0;7;0;50.9;0.0999999999999991;8.09666666666667;0.013333333333333;0.730666666666667;0.00592546294487706;1.259;0.004;0.213666666666667;0.0017638342073764;0.0589333333333333;6.66666666666663e-05;0.253;0.00251661147842359;5.76286666666667;0.0473957611794323;144.31368;0.921511904643666
3;251;28;0;3.5;0;56.7933333333333;1.70023854535507;7.17333333333333;0.0145296631451355;0.71;0.00208166599946613;1.17866666666667;0.00120185042515467;0.201666666666667;0.000666666666666667;0.0411;0.000115470053837926;0.240666666666667;0.00185592145427668;5.96946;0.0652399999999999;163.93916;1.15248044217678
3;294;22.5;0;5.5;0;50.5;0.254230866208911;8.01333333333333;0.00881917103688178;0.638;0.00929157324317758;1.1;0.00435889894354071;0.172333333333333;0.000881917103688191;0.0345666666666667;0.000317979733805648;0.236666666666667;0.0032829526005987;6.12168666666667;0.0761133333333334;119.5236;0
3;312;12;0;11;0;41.4666666666667;0.233333333333334;8.18666666666667;0.00881917103688178;0.588;0.00208166599946613;0.9734;0.00197315314492651;0.143666666666667;0.00145296631451356;0.0304;2e-04;0.214666666666667;0.00120185042515466;5.52365333333333;0.0217466666666667;115.68704;0.390407063460692
3;342;10.3333333333333;0.333333333333333;12.5;0;37.6933333333333;0.168951011966323;8.26333333333333;0.0470224532655531;0.720666666666667;0.00120185042515466;0.852;0.0109696551146029;0.100666666666667;0.00470224532655529;0.0219666666666667;0.000145296631451356;0.178666666666667;0.00202758751009941;5.5454;0;111.865236;1.637916
